Series Name,Country/Region,Year,Value
"Population, total",Fiji,2020,914963.0
"Population, total",Finland,2020,5529543.0
"Population, total",France,2020,67601110.0
"Population, total",French Polynesia,2020,279209.0
"Population, total",Gabon,2020,2322539.0
"Population, total",Gambia,2020,2515733.0
"Population, total",Georgia,2020,3722716.0
"Population, total",Germany,2020,83160871.0
"Population, total",Ghana,2020,31887809.0
"Population, total",Gibraltar,2020,36173.0
"Population, total",Greece,2020,10698599.0
"Population, total",Greenland,2020,56367.0
"Population, total",Grenada,2020,116341.0
"Population, total",Guam,2020,162158.0
"Population, total",Guatemala,2020,17357325.0
"Population, total",Guinea,2020,13371183.0
"Population, total",Guinea-Bissau,2020,2013255.0
"Population, total",Guyana,2020,807481.0
"Population, total",Haiti,2020,11243848.0
"Population, total",Honduras,2020,10119640.0
"Population, total","Hong Kong SAR, China",2020,7481000.0
"Population, total",Hungary,2020,9750149.0
"Population, total",Iceland,2020,366463.0
"Population, total",India,2020,1402617695.0
"Population, total",Indonesia,2020,274814866.0
"Population, total",Iran,2020,87723443.0
"Population, total",Iraq,2020,42116605.0
"Population, total",Ireland,2020,4985382.0
"Population, total",Isle of Man,2020,84064.0
"Population, total",Israel,2020,9215100.0
"Population, total",Italy,2020,59438851.0
"Population, total",Jamaica,2020,2830739.0
"Population, total",Japan,2020,126261000.0
"Population, total",Jordan,2020,10865228.0
"Population, total",Kazakhstan,2020,19482117.0
"Population, total",Kenya,2020,52217334.0
"Population, total",Kiribati,2020,126099.0
"Population, total","Korea, Dem. People's Rep.",2020,26136312.0
"Population, total",South Korea,2020,51836239.0
"Population, total",Kosovo,2020,1790152.0
"Population, total",Kuwait,2020,4400267.0
"Population, total",Kyrgyz Republic,2020,6726595.5
"Population, total",Laos,2020,7346533.0
"Population, total",Latvia,2020,1900449.0
"Population, total",Lebanon,2020,5702398.0
"Population, total",Lesotho,2020,2235727.0
"Population, total",Liberia,2020,5149463.0
"Population, total",Libya,2020,7045399.0
"Population, total",Liechtenstein,2020,38901.0
"Population, total",Lithuania,2020,2794885.0
"Population, total",Luxembourg,2020,630419.0
"Population, total","Macao SAR, China",2020,685400.0
"Population, total",Madagascar,2020,28953556.0
"Population, total",Malawi,2020,19533888.0
"Population, total",Malaysia,2020,33889558.0
"Population, total",Maldives,2020,502118.0
"Population, total",Mali,2020,21713836.0
"Population, total",Malta,2020,515332.0
"Population, total",Marshall Islands,2020,42706.0
"Population, total",Mauritania,2020,4600131.0
"Population, total",Mauritius,2020,1266014.0
"Population, total",Mexico,2020,126799054.0
"Population, total",Micronesia,2020,110916.0
"Population, total",Moldova,2020,2635130.0
"Population, total",Monaco,2020,38050.0
"Population, total",Mongolia,2020,3327204.0
"Population, total",Montenegro,2020,621306.0
"Population, total",Morocco,2020,36584208.0
"Population, total",Mozambique,2020,30783688.0
"Population, total",Myanmar,2020,53016522.0
"Population, total",Namibia,2020,2728762.0
"Population, total",Nauru,2020,11643.0
"Population, total",Nepal,2020,28966574.0
"Population, total",Netherlands,2020,17441500.0
"Population, total",New Caledonia,2020,284176.0
"Population, total",New Zealand,2020,5090200.0
"Population, total",Nicaragua,2020,6565267.0
"Population, total",Niger,2020,23717613.0
"Population, total",Nigeria,2020,213996181.0
"Population, total",North Macedonia,2020,1856124.0
"Population, total",Northern Mariana Islands,2020,47528.0
"Population, total",Norway,2020,5379475.0
"Population, total",Oman,2020,4522497.0
"Population, total",Pakistan,2020,235001746.0
"Population, total",Palau,2020,17792.0
"Population, total",Panama,2020,4293261.0
"Population, total",Papua New Guinea,2020,9815746.0
"Population, total",Paraguay,2020,6603739.0
"Population, total",Peru,2020,32838579.0
"Population, total",Philippines,2020,112081264.0
"Population, total",Poland,2020,37899070.0
"Population, total",Portugal,2020,10297081.0
"Population, total",Puerto Rico,2020,3281557.0
"Population, total",Qatar,2020,2794148.0
"Population, total",Romania,2020,19265250.0
"Population, total",Russia,2020,145245148.0
"Population, total",Rwanda,2020,13065837.0
"Population, total",Samoa,2020,211944.0
"Population, total",San Marino,2020,34770.0
"Population, total",Sao Tome and Principe,2020,217435.0
"Population, total",Saudi Arabia,2020,31552510.0
"Population, total",Senegal,2020,16789219.0
"Population, total",Serbia,2020,6899126.0
"Population, total",Seychelles,2020,98462.0
"Population, total",Sierra Leone,2020,7912558.0
"Population, total",Singapore,2020,5685807.0
"Population, total",Sint Maarten (Dutch part),2020,41008.0
"Population, total",Slovakia,2020,5458827.0
"Population, total",Slovenia,2020,2102419.0
"Population, total",Solomon Islands,2020,744498.0
"Population, total",Somalia,2020,16651191.0
"Population, total",South Africa,2020,60562381.0
"Population, total",South Sudan,2020,10698467.0
"Population, total",Spain,2020,47365655.0
"Population, total",Sri Lanka,2020,21919000.0
"Population, total",St. Kitts and Nevis,2020,46870.0
"Population, total",St. Lucia,2020,178250.0
"Population, total",St. Martin (French part),2020,31786.0
"Population, total",St. Vincent and the Grenadines,2020,103526.0
"Population, total",Sudan,2020,46789231.0
"Population, total",Suriname,2020,612317.0
"Population, total",Sweden,2020,10353442.0
"Population, total",Switzerland,2020,8638167.0
"Population, total",Syria,2020,21049429.0
"Population, total",Tajikistan,2020,9749310.0
"Population, total",Tanzania,2020,60972798.0
"Population, total",Thailand,2020,71641484.0
"Population, total",Timor-Leste,2020,1326053.0
"Population, total",Togo,2020,8669720.0
"Population, total",Tonga,2020,105704.0
"Population, total",Trinidad and Tobago,2020,1366725.0
"Population, total",Tunisia,2020,11974057.0
"Population, total",Turkey,2020,83384680.0
"Population, total",Turkmenistan,2020,6949912.0
"Population, total",Turks and Caicos Islands,2020,44386.0
"Population, total",Tuvalu,2020,10399.0
"Population, total",Uganda,2020,44457152.0
"Population, total",Ukraine,2020,44680014.0
"Population, total",United Arab Emirates,2020,9401038.0
"Population, total",United Kingdom,2020,67081234.0
"Population, total",United States,2020,331526933.0
"Population, total",Uruguay,2020,3398968.0
"Population, total",Uzbekistan,2020,33586372.0
"Population, total",Vanuatu,2020,298858.0
"Population, total",Venezuela,2020,28444077.0
"Population, total",Vietnam,2020,98079191.0
"Population, total",Virgin Islands (U.S.),2020,106290.0
"Population, total",West Bank and Gaza,2020,4803269.0
"Population, total","Yemen, Rep.",2020,36134863.0
"Population, total",Zambia,2020,19059395.0
"Population, total",Zimbabwe,2020,15526888.0
GDP growth (annual %),Afghanistan,2020,-2.35110067203466
GDP growth (annual %),Albania,2020,-3.31371614712083
GDP growth (annual %),Algeria,2020,-4.99999999999997
GDP growth (annual %),American Samoa,2020,4.41176470588236
GDP growth (annual %),Andorra,2020,-11.1839399355384
GDP growth (annual %),Angola,2020,-5.63821471714934
GDP growth (annual %),Antigua and Barbuda,2020,-18.8803992026325
GDP growth (annual %),Argentina,2020,-9.9004848136464
GDP growth (annual %),Armenia,2020,-7.19999999920631
GDP growth (annual %),Aruba,2020,-26.2118207828803
GDP growth (annual %),Australia,2020,-0.119590735829973
GDP growth (annual %),Austria,2020,-6.31825528670208
GDP growth (annual %),Azerbaijan,2020,-4.30000010230737
GDP growth (annual %),Bahamas,2020,-21.4234630658488
GDP growth (annual %),Bahrain,2020,-5.9113629524152
GDP growth (annual %),Bangladesh,2020,3.44801755122445
GDP growth (annual %),Barbados,2020,-15.0543629495892
GDP growth (annual %),Belarus,2020,-0.672742950624155
GDP growth (annual %),Belgium,2020,-4.79298389726264
GDP growth (annual %),Belize,2020,-13.9029100645218
GDP growth (annual %),Benin,2020,3.84879240030133
GDP growth (annual %),Bermuda,2020,-6.84286964270544
GDP growth (annual %),Bhutan,2020,-10.2183974073689
GDP growth (annual %),Bolivia,2020,-8.73788443399127
GDP growth (annual %),Bosnia and Herzegovina,2020,-3.01509514759861
GDP growth (annual %),Botswana,2020,-8.72875252639037
GDP growth (annual %),Brazil,2020,-3.2767587964736
GDP growth (annual %),British Virgin Islands,2020,
GDP growth (annual %),Brunei,2020,1.13357340605403
GDP growth (annual %),Bulgaria,2020,-3.21573743445016
GDP growth (annual %),Burkina Faso,2020,2.01077262406221
GDP growth (annual %),Burundi,2020,0.327156892638385
GDP growth (annual %),Cabo Verde,2020,-20.8052758990735
GDP growth (annual %),Cambodia,2020,-3.55572193406549
GDP growth (annual %),Cameroon,2020,0.259932915907115
GDP growth (annual %),Canada,2020,-5.03823344128351
GDP growth (annual %),Cayman Islands,2020,-4.95480640759244
GDP growth (annual %),Central African Republic,2020,0.899999996857062
GDP growth (annual %),Chad,2020,-1.60000673705524
GDP growth (annual %),Channel Islands,2020,-8.89677952309607
GDP growth (annual %),Chile,2020,-6.14347479224092
GDP growth (annual %),China,2020,2.23863835634639
GDP growth (annual %),Colombia,2020,-7.18591413760859
GDP growth (annual %),Comoros,2020,-0.195556827149787
GDP growth (annual %),Congo (Kinshasa),2020,1.73542276681493
GDP growth (annual %),Congo (Brazzaville),2020,-6.26777227963225
GDP growth (annual %),Costa Rica,2020,-4.27335432161462
GDP growth (annual %),Cote d'Ivoire,2020,0.699728593494228
GDP growth (annual %),Croatia,2020,-8.31164257884687
GDP growth (annual %),Cuba,2020,-10.9490846048862
GDP growth (annual %),Curacao,2020,-18.4384703505393
GDP growth (annual %),Cyprus,2020,-3.22063433575047
GDP growth (annual %),Czechia,2020,-5.30487954551279
GDP growth (annual %),Denmark,2020,-1.7801059882175
GDP growth (annual %),Djibouti,2020,1.31636324158441
GDP growth (annual %),Dominica,2020,-16.6041095231221
GDP growth (annual %),Dominican Republic,2020,-6.72023937283404
GDP growth (annual %),Ecuador,2020,-9.24509637743429
GDP growth (annual %),Egypt,2020,3.55016483786838
GDP growth (annual %),El Salvador,2020,-7.893101359867
GDP growth (annual %),Equatorial Guinea,2020,-4.79108083383294
GDP growth (annual %),Eritrea,2020,
GDP growth (annual %),Estonia,2020,-2.88381004140328
GDP growth (annual %),Eswatini,2020,-2.88706296038356
GDP growth (annual %),Ethiopia,2020,6.05953088643369
GDP growth (annual %),Faroe Islands,2020,-1.63732118017028
GDP growth (annual %),Fiji,2020,-17.0386675274098
GDP growth (annual %),Finland,2020,-2.49103620977239
GDP growth (annual %),France,2020,-7.44064593044142
GDP growth (annual %),French Polynesia,2020,-7.05099065433484
GDP growth (annual %),Gabon,2020,-1.8377610635094
GDP growth (annual %),Gambia,2020,0.591487287873974
GDP growth (annual %),Georgia,2020,-6.2904717853839
GDP growth (annual %),Germany,2020,-4.09513749064689
GDP growth (annual %),Ghana,2020,0.513941670628171
GDP growth (annual %),Gibraltar,2020,
GDP growth (annual %),Greece,2020,-9.19623147082588
GDP growth (annual %),Greenland,2020,0.187608793759281
GDP growth (annual %),Grenada,2020,-13.7566222572107
GDP growth (annual %),Guam,2020,-10.5188595714539
GDP growth (annual %),Guatemala,2020,-1.78555194467604
GDP growth (annual %),Guinea,2020,4.70459096113575
GDP growth (annual %),Guinea-Bissau,2020,1.49527443726818
GDP growth (annual %),Guyana,2020,43.479651716849
GDP growth (annual %),Haiti,2020,-3.30550546965893
GDP growth (annual %),Honduras,2020,-8.96508223267296
GDP growth (annual %),"Hong Kong SAR, China",2020,-6.54476757335387
GDP growth (annual %),Hungary,2020,-4.48704604765308
GDP growth (annual %),Iceland,2020,-6.94045309489034
GDP growth (annual %),India,2020,-5.77772470686801
GDP growth (annual %),Indonesia,2020,-2.06551182934165
GDP growth (annual %),Iran,2020,3.33028845926594
GDP growth (annual %),Iraq,2020,-12.0367930931001
GDP growth (annual %),Ireland,2020,7.15789883057209
GDP growth (annual %),Isle of Man,2020,-8.8368174000649
GDP growth (annual %),Israel,2020,-1.46460564253812
GDP growth (annual %),Italy,2020,-8.86822121046387
GDP growth (annual %),Jamaica,2020,-9.92032244889079
GDP growth (annual %),Japan,2020,-4.14711889947692
GDP growth (annual %),Jordan,2020,-1.10275188309046
GDP growth (annual %),Kazakhstan,2020,-2.49999999628
GDP growth (annual %),Kenya,2020,-0.272766327438816
GDP growth (annual %),Kiribati,2020,-0.562016449352072
GDP growth (annual %),"Korea, Dem. People's Rep.",2020,
GDP growth (annual %),South Korea,2020,-0.709415359397681
GDP growth (annual %),Kosovo,2020,-5.34027547826166
GDP growth (annual %),Kuwait,2020,-4.81742860622226
GDP growth (annual %),Kyrgyz Republic,2020,-7.14897757727955
GDP growth (annual %),Laos,2020,0.503031829018681
GDP growth (annual %),Latvia,2020,-3.46922915339618
GDP growth (annual %),Lebanon,2020,-21.3998996914321
GDP growth (annual %),Lesotho,2020,-8.15595879914267
GDP growth (annual %),Liberia,2020,-2.98249127649473
GDP growth (annual %),Libya,2020,-29.4552967282824
GDP growth (annual %),Liechtenstein,2020,
GDP growth (annual %),Lithuania,2020,0.0428140173486753
GDP growth (annual %),Luxembourg,2020,-0.909829798886719
GDP growth (annual %),"Macao SAR, China",2020,-54.3361546022371
GDP growth (annual %),Madagascar,2020,-7.13767162064489
GDP growth (annual %),Malawi,2020,0.793596429787286
GDP growth (annual %),Malaysia,2020,-5.45684658426701
GDP growth (annual %),Maldives,2020,-32.9088287752921
GDP growth (annual %),Mali,2020,-1.235450447077
GDP growth (annual %),Malta,2020,-3.47468750932252
GDP growth (annual %),Marshall Islands,2020,-2.77288732394366
GDP growth (annual %),Mauritania,2020,-0.360657384151068
GDP growth (annual %),Mauritius,2020,-14.5465381490166
GDP growth (annual %),Mexico,2020,-8.3540345574586
GDP growth (annual %),Micronesia,2020,-1.9607843137255
GDP growth (annual %),Moldova,2020,-8.27597831976949
GDP growth (annual %),Monaco,2020,-13.2391048292108
GDP growth (annual %),Mongolia,2020,-4.55775197583431
GDP growth (annual %),Montenegro,2020,-15.3068937570407
GDP growth (annual %),Morocco,2020,-7.17820744246774
GDP growth (annual %),Mozambique,2020,-1.21952250011192
GDP growth (annual %),Myanmar,2020,-9.04834717984643
GDP growth (annual %),Namibia,2020,-8.10140201443319
GDP growth (annual %),Nauru,2020,1.98181949377276
GDP growth (annual %),Nepal,2020,-2.3696206292072
GDP growth (annual %),Netherlands,2020,-3.86795339323423
GDP growth (annual %),New Caledonia,2020,-2.40000000064407
GDP growth (annual %),New Zealand,2020,-0.424906457573115
GDP growth (annual %),Nicaragua,2020,-1.75595289214087
GDP growth (annual %),Niger,2020,3.55064109436891
GDP growth (annual %),Nigeria,2020,-1.79425308274458
GDP growth (annual %),North Macedonia,2020,-4.68845000956652
GDP growth (annual %),Northern Mariana Islands,2020,-29.0598290598291
GDP growth (annual %),Norway,2020,-1.2781717845226
GDP growth (annual %),Oman,2020,-3.37972052697999
GDP growth (annual %),Pakistan,2020,-1.27408744338709
GDP growth (annual %),Palau,2020,-5.99942585620028
GDP growth (annual %),Panama,2020,-17.8212299695008
GDP growth (annual %),Papua New Guinea,2020,-3.16743204087665
GDP growth (annual %),Paraguay,2020,-0.819785390971916
GDP growth (annual %),Peru,2020,-10.9333065010382
GDP growth (annual %),Philippines,2020,-9.5182947406494
GDP growth (annual %),Poland,2020,-2.03556882399977
GDP growth (annual %),Portugal,2020,-8.20463206255478
GDP growth (annual %),Puerto Rico,2020,-4.1808743093346
GDP growth (annual %),Qatar,2020,-3.55760399909477
GDP growth (annual %),Romania,2020,-3.67438440910189
GDP growth (annual %),Russia,2020,-2.65365450102773
GDP growth (annual %),Rwanda,2020,-3.37368746369782
GDP growth (annual %),Samoa,2020,-3.10844401053139
GDP growth (annual %),San Marino,2020,-6.64791081780605
GDP growth (annual %),Sao Tome and Principe,2020,2.62485949543812
GDP growth (annual %),Saudi Arabia,2020,-3.58153486307663
GDP growth (annual %),Senegal,2020,1.3420737726679
GDP growth (annual %),Serbia,2020,-0.950023991851594
GDP growth (annual %),Seychelles,2020,-11.7398608281732
GDP growth (annual %),Sierra Leone,2020,-1.2533490322766
GDP growth (annual %),Singapore,2020,-3.86979893430043
GDP growth (annual %),Sint Maarten (Dutch part),2020,-13.3167887221567
GDP growth (annual %),Slovakia,2020,-2.5855125291319
GDP growth (annual %),Slovenia,2020,-4.08499815297814
GDP growth (annual %),Solomon Islands,2020,-3.3811475409836
GDP growth (annual %),Somalia,2020,-2.75248103927831
GDP growth (annual %),South Africa,2020,-6.1689177146757
GDP growth (annual %),South Sudan,2020,
GDP growth (annual %),Spain,2020,-10.9400706591866
GDP growth (annual %),Sri Lanka,2020,-4.62451503662909
GDP growth (annual %),St. Kitts and Nevis,2020,-15.3544517590966
GDP growth (annual %),St. Lucia,2020,-24.3611553496453
GDP growth (annual %),St. Martin (French part),2020,-12.500002246731
GDP growth (annual %),St. Vincent and the Grenadines,2020,-3.73914599187015
GDP growth (annual %),Sudan,2020,-3.62980082410752
GDP growth (annual %),Suriname,2020,-15.9751917148622
GDP growth (annual %),Sweden,2020,-2.00533750353763
GDP growth (annual %),Switzerland,2020,-2.14173720650054
GDP growth (annual %),Syria,2020,-0.697154504235129
GDP growth (annual %),Tajikistan,2020,4.40000111553493
GDP growth (annual %),Tanzania,2020,1.99196460647855
GDP growth (annual %),Thailand,2020,-6.05003846851622
GDP growth (annual %),Timor-Leste,2020,31.7257416721413
GDP growth (annual %),Togo,2020,1.99215501870344
GDP growth (annual %),Tonga,2020,1.78339492959161
GDP growth (annual %),Trinidad and Tobago,2020,-9.07787689348437
GDP growth (annual %),Tunisia,2020,-9.01193412390238
GDP growth (annual %),Turkey,2020,1.85987303976462
GDP growth (annual %),Turkmenistan,2020,5.900000048526
GDP growth (annual %),Turks and Caicos Islands,2020,-26.782932872099
GDP growth (annual %),Tuvalu,2020,-4.27493206901397
GDP growth (annual %),Uganda,2020,2.95130642218098
GDP growth (annual %),Ukraine,2020,-3.7528179386597
GDP growth (annual %),United Arab Emirates,2020,-4.95705243652739
GDP growth (annual %),United Kingdom,2020,-10.2969188737567
GDP growth (annual %),United States,2020,-2.16302913866514
GDP growth (annual %),Uruguay,2020,-7.38014184479323
GDP growth (annual %),Uzbekistan,2020,1.56334277259953
GDP growth (annual %),Vanuatu,2020,-4.99249142889525
GDP growth (annual %),Venezuela,2020,
GDP growth (annual %),Vietnam,2020,2.86541320912272
GDP growth (annual %),Virgin Islands (U.S.),2020,-1.61493817814787
GDP growth (annual %),West Bank and Gaza,2020,-11.3184661065134
GDP growth (annual %),"Yemen, Rep.",2020,
GDP growth (annual %),Zambia,2020,-2.78505506545167
GDP growth (annual %),Zimbabwe,2020,-7.81695064681365
"Inflation, consumer prices (annual %)",Afghanistan,2020,5.60188791482224
"Inflation, consumer prices (annual %)",Albania,2020,1.62088661717004
"Inflation, consumer prices (annual %)",Algeria,2020,2.41513094083414
"Inflation, consumer prices (annual %)",American Samoa,2020,
"Inflation, consumer prices (annual %)",Andorra,2020,
"Inflation, consumer prices (annual %)",Angola,2020,22.271539247051
"Inflation, consumer prices (annual %)",Antigua and Barbuda,2020,0.625989707046719
"Inflation, consumer prices (annual %)",Argentina,2020,
"Inflation, consumer prices (annual %)",Armenia,2020,1.21143577838465
"Inflation, consumer prices (annual %)",Aruba,2020,
"Inflation, consumer prices (annual %)",Australia,2020,0.846905537459305
"Inflation, consumer prices (annual %)",Austria,2020,1.38191063351862
"Inflation, consumer prices (annual %)",Azerbaijan,2020,2.75980947008127
"Inflation, consumer prices (annual %)",Bahamas,2020,0.0385210980054558
"Inflation, consumer prices (annual %)",Bahrain,2020,-2.31770629331379
"Inflation, consumer prices (annual %)",Bangladesh,2020,5.69107474746211
"Inflation, consumer prices (annual %)",Barbados,2020,
"Inflation, consumer prices (annual %)",Belarus,2020,5.54814357456511
"Inflation, consumer prices (annual %)",Belgium,2020,0.740791812220344
"Inflation, consumer prices (annual %)",Belize,2020,0.121434644614894
"Inflation, consumer prices (annual %)",Benin,2020,3.02272119663769
"Inflation, consumer prices (annual %)",Bermuda,2020,
"Inflation, consumer prices (annual %)",Bhutan,2020,5.62936522632508
"Inflation, consumer prices (annual %)",Bolivia,2020,0.940742153381849
"Inflation, consumer prices (annual %)",Bosnia and Herzegovina,2020,-1.0512960076349
"Inflation, consumer prices (annual %)",Botswana,2020,1.8903591682421
"Inflation, consumer prices (annual %)",Brazil,2020,3.21176803803376
"Inflation, consumer prices (annual %)",British Virgin Islands,2020,
"Inflation, consumer prices (annual %)",Brunei,2020,1.94031996607184
"Inflation, consumer prices (annual %)",Bulgaria,2020,1.67244096855756
"Inflation, consumer prices (annual %)",Burkina Faso,2020,1.88443993781991
"Inflation, consumer prices (annual %)",Burundi,2020,7.32110643415521
"Inflation, consumer prices (annual %)",Cabo Verde,2020,0.605795808395385
"Inflation, consumer prices (annual %)",Cambodia,2020,2.9402951426397
"Inflation, consumer prices (annual %)",Cameroon,2020,2.43760882182236
"Inflation, consumer prices (annual %)",Canada,2020,0.716999632307827
"Inflation, consumer prices (annual %)",Cayman Islands,2020,
"Inflation, consumer prices (annual %)",Central African Republic,2020,1.71015659523153
"Inflation, consumer prices (annual %)",Chad,2020,4.4641443723286
"Inflation, consumer prices (annual %)",Channel Islands,2020,
"Inflation, consumer prices (annual %)",Chile,2020,3.04549084804326
"Inflation, consumer prices (annual %)",China,2020,2.41942189457782
"Inflation, consumer prices (annual %)",Colombia,2020,2.52663500084706
"Inflation, consumer prices (annual %)",Comoros,2020,
"Inflation, consumer prices (annual %)",Congo (Kinshasa),2020,
"Inflation, consumer prices (annual %)",Congo (Brazzaville),2020,1.79537147083108
"Inflation, consumer prices (annual %)",Costa Rica,2020,0.724911478131376
"Inflation, consumer prices (annual %)",Cote d'Ivoire,2020,2.42500656821815
"Inflation, consumer prices (annual %)",Croatia,2020,0.154811374562106
"Inflation, consumer prices (annual %)",Cuba,2020,
"Inflation, consumer prices (annual %)",Curacao,2020,
"Inflation, consumer prices (annual %)",Cyprus,2020,-0.638422797978959
"Inflation, consumer prices (annual %)",Czechia,2020,3.16129528497801
"Inflation, consumer prices (annual %)",Denmark,2020,0.420711974110115
"Inflation, consumer prices (annual %)",Djibouti,2020,1.7774078380617
"Inflation, consumer prices (annual %)",Dominica,2020,-0.727116412668203
"Inflation, consumer prices (annual %)",Dominican Republic,2020,3.78103179915517
"Inflation, consumer prices (annual %)",Ecuador,2020,-0.338872392562139
"Inflation, consumer prices (annual %)",Egypt,2020,5.04493288977539
"Inflation, consumer prices (annual %)",El Salvador,2020,-0.371590212324095
"Inflation, consumer prices (annual %)",Equatorial Guinea,2020,4.76669523944228
"Inflation, consumer prices (annual %)",Eritrea,2020,
"Inflation, consumer prices (annual %)",Estonia,2020,-0.44453109767983
"Inflation, consumer prices (annual %)",Eswatini,2020,
"Inflation, consumer prices (annual %)",Ethiopia,2020,20.3563468559061
"Inflation, consumer prices (annual %)",Faroe Islands,2020,
"Inflation, consumer prices (annual %)",Fiji,2020,-2.5952432588738
"Inflation, consumer prices (annual %)",Finland,2020,0.290554555653239
"Inflation, consumer prices (annual %)",France,2020,0.476498852725066
"Inflation, consumer prices (annual %)",French Polynesia,2020,
"Inflation, consumer prices (annual %)",Gabon,2020,1.35276110675333
"Inflation, consumer prices (annual %)",Gambia,2020,5.93127636562441
"Inflation, consumer prices (annual %)",Georgia,2020,5.2024648897534
"Inflation, consumer prices (annual %)",Germany,2020,0.144877925813982
"Inflation, consumer prices (annual %)",Ghana,2020,9.88728956269944
"Inflation, consumer prices (annual %)",Gibraltar,2020,
"Inflation, consumer prices (annual %)",Greece,2020,-1.24798355581405
"Inflation, consumer prices (annual %)",Greenland,2020,
"Inflation, consumer prices (annual %)",Grenada,2020,-0.740732597045498
"Inflation, consumer prices (annual %)",Guam,2020,
"Inflation, consumer prices (annual %)",Guatemala,2020,3.21444062197352
"Inflation, consumer prices (annual %)",Guinea,2020,10.6016203387167
"Inflation, consumer prices (annual %)",Guinea-Bissau,2020,1.14000939393213
"Inflation, consumer prices (annual %)",Guyana,2020,0.99333702283873
"Inflation, consumer prices (annual %)",Haiti,2020,22.7963113642528
"Inflation, consumer prices (annual %)",Honduras,2020,3.46841177951184
"Inflation, consumer prices (annual %)","Hong Kong SAR, China",2020,0.2509620210808
"Inflation, consumer prices (annual %)",Hungary,2020,3.32674385766738
"Inflation, consumer prices (annual %)",Iceland,2020,2.84792401518665
"Inflation, consumer prices (annual %)",India,2020,6.62343677628535
"Inflation, consumer prices (annual %)",Indonesia,2020,1.9209680056685
"Inflation, consumer prices (annual %)",Iran,2020,30.5941390387295
"Inflation, consumer prices (annual %)",Iraq,2020,0.574162679425795
"Inflation, consumer prices (annual %)",Ireland,2020,-0.326183651280033
"Inflation, consumer prices (annual %)",Isle of Man,2020,
"Inflation, consumer prices (annual %)",Israel,2020,-0.61441235846577
"Inflation, consumer prices (annual %)",Italy,2020,-0.13770757391651
"Inflation, consumer prices (annual %)",Jamaica,2020,5.2267777929352
"Inflation, consumer prices (annual %)",Japan,2020,-0.024995834027731
"Inflation, consumer prices (annual %)",Jordan,2020,0.333294350628378
"Inflation, consumer prices (annual %)",Kazakhstan,2020,6.71815454861464
"Inflation, consumer prices (annual %)",Kenya,2020,5.40516207933392
"Inflation, consumer prices (annual %)",Kiribati,2020,2.5532455441463
"Inflation, consumer prices (annual %)","Korea, Dem. People's Rep.",2020,
"Inflation, consumer prices (annual %)",South Korea,2020,0.537288023411737
