Country/Region,Date,Recovered
New Zealand,2020-03-03,0
United Kingdom,2020-03-03,0
Australia,2020-03-04,11
China,2020-03-04,50001
Denmark,2020-03-04,0
France,2020-03-04,0
Netherlands,2020-03-04,0
New Zealand,2020-03-04,0
United Kingdom,2020-03-04,0
Australia,2020-03-05,21
China,2020-03-05,52292
Denmark,2020-03-05,0
France,2020-03-05,0
Netherlands,2020-03-05,0
New Zealand,2020-03-05,0
United Kingdom,2020-03-05,0
Australia,2020-03-06,21
China,2020-03-06,53944
Denmark,2020-03-06,0
France,2020-03-06,0
Netherlands,2020-03-06,0
New Zealand,2020-03-06,0
United Kingdom,2020-03-06,0
Australia,2020-03-07,21
China,2020-03-07,55539
Denmark,2020-03-07,0
France,2020-03-07,0
Netherlands,2020-03-07,0
New Zealand,2020-03-07,0
United Kingdom,2020-03-07,0
Australia,2020-03-08,21
China,2020-03-08,57388
Denmark,2020-03-08,0
France,2020-03-08,0
Netherlands,2020-03-08,0
New Zealand,2020-03-08,0
United Kingdom,2020-03-08,0
Australia,2020-03-09,21
China,2020-03-09,58804
Denmark,2020-03-09,0
France,2020-03-09,0
Netherlands,2020-03-09,0
New Zealand,2020-03-09,0
United Kingdom,2020-03-09,0
Australia,2020-03-10,21
China,2020-03-10,60181
Denmark,2020-03-10,0
France,2020-03-10,0
Netherlands,2020-03-10,0
New Zealand,2020-03-10,0
United Kingdom,2020-03-10,1
Australia,2020-03-11,21
China,2020-03-11,61644
Denmark,2020-03-11,0
France,2020-03-11,0
Netherlands,2020-03-11,0
New Zealand,2020-03-11,0
United Kingdom,2020-03-11,1
Australia,2020-03-12,21
China,2020-03-12,62901
Denmark,2020-03-12,0
France,2020-03-12,0
Netherlands,2020-03-12,0
New Zealand,2020-03-12,0
United Kingdom,2020-03-12,1
Australia,2020-03-13,23
China,2020-03-13,64196
Denmark,2020-03-13,0
France,2020-03-13,0
Netherlands,2020-03-13,0
New Zealand,2020-03-13,0
United Kingdom,2020-03-13,1
Australia,2020-03-14,23
China,2020-03-14,65660
Denmark,2020-03-14,0
France,2020-03-14,0
Netherlands,2020-03-14,0
New Zealand,2020-03-14,0
United Kingdom,2020-03-14,1
Australia,2020-03-15,23
China,2020-03-15,67017
Denmark,2020-03-15,0
France,2020-03-15,0
Netherlands,2020-03-15,0
New Zealand,2020-03-15,0
United Kingdom,2020-03-15,1
Australia,2020-03-16,23
China,2020-03-16,67910
Denmark,2020-03-16,0
France,2020-03-16,0
Netherlands,2020-03-16,0
New Zealand,2020-03-16,0
United Kingdom,2020-03-16,1
Australia,2020-03-17,23
China,2020-03-17,68798
Denmark,2020-03-17,0
France,2020-03-17,0
Netherlands,2020-03-17,0
New Zealand,2020-03-17,0
United Kingdom,2020-03-17,1
Australia,2020-03-18,23
China,2020-03-18,69755
Denmark,2020-03-18,0
France,2020-03-18,0
Netherlands,2020-03-18,0
New Zealand,2020-03-18,0
United Kingdom,2020-03-18,3
Australia,2020-03-19,26
China,2020-03-19,70535
Denmark,2020-03-19,0
France,2020-03-19,0
Netherlands,2020-03-19,0
New Zealand,2020-03-19,0
United Kingdom,2020-03-19,3
Australia,2020-03-20,26
China,2020-03-20,71266
Denmark,2020-03-20,0
France,2020-03-20,0
Netherlands,2020-03-20,0
New Zealand,2020-03-20,0
United Kingdom,2020-03-20,3
Australia,2020-03-21,26
China,2020-03-21,71857
Denmark,2020-03-21,0
France,2020-03-21,0
Netherlands,2020-03-21,0
New Zealand,2020-03-21,0
United Kingdom,2020-03-21,3
Australia,2020-03-22,88
China,2020-03-22,72362
Denmark,2020-03-22,0
France,2020-03-22,6
Netherlands,2020-03-22,0
New Zealand,2020-03-22,0
United Kingdom,2020-03-22,2
Australia,2020-03-23,88
China,2020-03-23,72814
Denmark,2020-03-23,0
France,2020-03-23,6
Netherlands,2020-03-23,0
New Zealand,2020-03-23,0
United Kingdom,2020-03-23,2
Australia,2020-03-24,115
China,2020-03-24,73280
Denmark,2020-03-24,35
France,2020-03-24,7
Netherlands,2020-03-24,1
New Zealand,2020-03-24,0
United Kingdom,2020-03-24,5
Australia,2020-03-25,119
China,2020-03-25,73773
Denmark,2020-03-25,40
France,2020-03-25,7
Netherlands,2020-03-25,1
New Zealand,2020-03-25,0
United Kingdom,2020-03-25,5
Australia,2020-03-26,172
China,2020-03-26,74181
Denmark,2020-03-26,49
France,2020-03-26,7
Netherlands,2020-03-26,3
New Zealand,2020-03-26,0
United Kingdom,2020-03-26,15
Australia,2020-03-27,194
China,2020-03-27,74720
Denmark,2020-03-27,56
France,2020-03-27,7
Netherlands,2020-03-27,3
New Zealand,2020-03-27,0
United Kingdom,2020-03-27,16
Australia,2020-03-28,244
China,2020-03-28,75100
Denmark,2020-03-28,56
France,2020-03-28,24
Netherlands,2020-03-28,3
New Zealand,2020-03-28,0
United Kingdom,2020-03-28,16
Australia,2020-03-29,244
China,2020-03-29,75582
Denmark,2020-03-29,72
France,2020-03-29,24
Netherlands,2020-03-29,3
New Zealand,2020-03-29,0
United Kingdom,2020-03-29,16
Australia,2020-03-30,257
China,2020-03-30,75923
Denmark,2020-03-30,72
France,2020-03-30,37
Netherlands,2020-03-30,3
New Zealand,2020-03-30,0
United Kingdom,2020-03-30,36
Australia,2020-03-31,358
China,2020-03-31,76206
Denmark,2020-03-31,76
France,2020-03-31,69
Netherlands,2020-03-31,3
New Zealand,2020-03-31,0
United Kingdom,2020-03-31,44
Australia,2020-04-01,422
China,2020-04-01,76405
Denmark,2020-04-01,77
France,2020-04-01,119
Netherlands,2020-04-01,10
New Zealand,2020-04-01,0
United Kingdom,2020-04-01,44
Australia,2020-04-02,520
China,2020-04-02,76565
Denmark,2020-04-02,83
France,2020-04-02,120
Netherlands,2020-04-02,10
New Zealand,2020-04-02,0
United Kingdom,2020-04-02,57
Australia,2020-04-03,649
China,2020-04-03,76760
Denmark,2020-04-03,94
France,2020-04-03,127
Netherlands,2020-04-03,10
New Zealand,2020-04-03,0
United Kingdom,2020-04-03,73
Australia,2020-04-04,701
China,2020-04-04,76946
Denmark,2020-04-04,96
France,2020-04-04,134
Netherlands,2020-04-04,12
New Zealand,2020-04-04,0
United Kingdom,2020-04-04,80
Australia,2020-04-05,757
China,2020-04-05,77207
Denmark,2020-04-05,102
France,2020-04-05,166
Netherlands,2020-04-05,7
New Zealand,2020-04-05,0
United Kingdom,2020-04-05,94
Australia,2020-04-06,1080
China,2020-04-06,77310
Denmark,2020-04-06,111
France,2020-04-06,178
Netherlands,2020-04-06,8
New Zealand,2020-04-06,0
United Kingdom,2020-04-06,152
Australia,2020-04-07,1080
China,2020-04-07,77410
Denmark,2020-04-07,130
France,2020-04-07,186
Netherlands,2020-04-07,22
New Zealand,2020-04-07,0
United Kingdom,2020-04-07,190
Australia,2020-04-08,1080
China,2020-04-08,77567
Denmark,2020-04-08,142
France,2020-04-08,198
Netherlands,2020-04-08,22
New Zealand,2020-04-08,0
United Kingdom,2020-04-08,210
Australia,2020-04-09,1472
China,2020-04-09,77679
Denmark,2020-04-09,147
France,2020-04-09,207
Netherlands,2020-04-09,28
New Zealand,2020-04-09,0
United Kingdom,2020-04-09,224
Australia,2020-04-10,1793
China,2020-04-10,77791
Denmark,2020-04-10,156
France,2020-04-10,263
Netherlands,2020-04-10,37
New Zealand,2020-04-10,0
United Kingdom,2020-04-10,244
Australia,2020-04-11,1806
China,2020-04-11,77877
Denmark,2020-04-11,156
France,2020-04-11,272
Netherlands,2020-04-11,41
New Zealand,2020-04-11,0
United Kingdom,2020-04-11,278
Australia,2020-04-12,1806
China,2020-04-12,77956
Denmark,2020-04-12,168
France,2020-04-12,283
Netherlands,2020-04-12,45
New Zealand,2020-04-12,0
United Kingdom,2020-04-12,282
Australia,2020-04-13,1806
China,2020-04-13,78039
Denmark,2020-04-13,168
France,2020-04-13,283
Netherlands,2020-04-13,45
New Zealand,2020-04-13,0
United Kingdom,2020-04-13,304
Australia,2020-04-14,2186
China,2020-04-14,78200
Denmark,2020-04-14,174
France,2020-04-14,293
Netherlands,2020-04-14,47
New Zealand,2020-04-14,0
United Kingdom,2020-04-14,323
Australia,2020-04-15,2186
China,2020-04-15,78311
Denmark,2020-04-15,177
France,2020-04-15,515
Netherlands,2020-04-15,54
New Zealand,2020-04-15,0
United Kingdom,2020-04-15,368
Australia,2020-04-16,2355
China,2020-04-16,78401
Denmark,2020-04-16,180
France,2020-04-16,515
Netherlands,2020-04-16,61
New Zealand,2020-04-16,0
United Kingdom,2020-04-16,375
Australia,2020-04-17,3808
China,2020-04-17,77552
Denmark,2020-04-17,182
France,2020-04-17,586
Netherlands,2020-04-17,65
New Zealand,2020-04-17,0
United Kingdom,2020-04-17,394
Australia,2020-04-18,4124
China,2020-04-18,77614
Denmark,2020-04-18,184
France,2020-04-18,604
Netherlands,2020-04-18,67
New Zealand,2020-04-18,0
United Kingdom,2020-04-18,414
Australia,2020-04-19,4124
China,2020-04-19,77690
Denmark,2020-04-19,187
France,2020-04-19,605
Netherlands,2020-04-19,72
New Zealand,2020-04-19,0
United Kingdom,2020-04-19,436
Australia,2020-04-20,4291
China,2020-04-20,77745
Denmark,2020-04-20,187
France,2020-04-20,627
Netherlands,2020-04-20,72
New Zealand,2020-04-20,0
United Kingdom,2020-04-20,446
Australia,2020-04-21,4695
China,2020-04-21,77799
Denmark,2020-04-21,189
France,2020-04-21,638
Netherlands,2020-04-21,74
New Zealand,2020-04-21,0
United Kingdom,2020-04-21,638
Australia,2020-04-22,4932
China,2020-04-22,77861
Denmark,2020-04-22,189
France,2020-04-22,669
Netherlands,2020-04-22,101
New Zealand,2020-04-22,0
United Kingdom,2020-04-22,683
Australia,2020-04-23,5047
China,2020-04-23,77983
Denmark,2020-04-23,189
France,2020-04-23,674
Netherlands,2020-04-23,101
New Zealand,2020-04-23,0
United Kingdom,2020-04-23,712
Australia,2020-04-24,5136
China,2020-04-24,78109
Denmark,2020-04-24,189
France,2020-04-24,778
Netherlands,2020-04-24,102
New Zealand,2020-04-24,0
United Kingdom,2020-04-24,724
Australia,2020-04-25,5376
China,2020-04-25,78175
Denmark,2020-04-25,189
France,2020-04-25,778
Netherlands,2020-04-25,102
New Zealand,2020-04-25,0
United Kingdom,2020-04-25,774
Australia,2020-04-26,5541
China,2020-04-26,78277
Denmark,2020-04-26,189
France,2020-04-26,778
Netherlands,2020-04-26,117
New Zealand,2020-04-26,0
United Kingdom,2020-04-26,778
Australia,2020-04-27,5588
China,2020-04-27,78374
Denmark,2020-04-27,189
France,2020-04-27,780
Netherlands,2020-04-27,117
New Zealand,2020-04-27,0
United Kingdom,2020-04-27,807
Australia,2020-04-28,5665
China,2020-04-28,78422
Denmark,2020-04-28,192
France,2020-04-28,889
Netherlands,2020-04-28,117
New Zealand,2020-04-28,0
United Kingdom,2020-04-28,813
Australia,2020-04-29,5715
China,2020-04-29,78474
Denmark,2020-04-29,192
France,2020-04-29,890
Netherlands,2020-04-29,119
New Zealand,2020-04-29,0
United Kingdom,2020-04-29,857
Australia,2020-04-30,5742
China,2020-04-30,78523
Denmark,2020-04-30,195
France,2020-04-30,904
Netherlands,2020-04-30,125
New Zealand,2020-04-30,0
United Kingdom,2020-04-30,859
Australia,2020-05-01,5775
China,2020-05-01,78573
Denmark,2020-05-01,195
France,2020-05-01,912
Netherlands,2020-05-01,138
New Zealand,2020-05-01,0
United Kingdom,2020-05-01,892
Australia,2020-05-02,5814
China,2020-05-02,78586
Denmark,2020-05-02,195
France,2020-05-02,912
Netherlands,2020-05-02,138
New Zealand,2020-05-02,0
United Kingdom,2020-05-02,896
Australia,2020-05-03,5849
China,2020-05-03,78684
Denmark,2020-05-03,196
France,2020-05-03,912
Netherlands,2020-05-03,138
New Zealand,2020-05-03,0
United Kingdom,2020-05-03,901
Australia,2020-05-04,5887
China,2020-05-04,78792
Denmark,2020-05-04,196
France,2020-05-04,1038
Netherlands,2020-05-04,138
New Zealand,2020-05-04,0
United Kingdom,2020-05-04,910
Australia,2020-05-05,5975
China,2020-05-05,78870
Denmark,2020-05-05,196
France,2020-05-05,1039
Netherlands,2020-05-05,139
New Zealand,2020-05-05,0
United Kingdom,2020-05-05,926
Australia,2020-05-06,6031
China,2020-05-06,78929
Denmark,2020-05-06,196
France,2020-05-06,1057
Netherlands,2020-05-06,146
New Zealand,2020-05-06,0
United Kingdom,2020-05-06,934
Australia,2020-05-07,6078
China,2020-05-07,78977
Denmark,2020-05-07,196
France,2020-05-07,1115
Netherlands,2020-05-07,147
New Zealand,2020-05-07,0
United Kingdom,2020-05-07,970
Australia,2020-05-08,6122
China,2020-05-08,78993
Denmark,2020-05-08,198
France,2020-05-08,1122
Netherlands,2020-05-08,147
New Zealand,2020-05-08,0
United Kingdom,2020-05-08,997
Australia,2020-05-09,6141
China,2020-05-09,79127
Denmark,2020-05-09,198
France,2020-05-09,1262
Netherlands,2020-05-09,149
New Zealand,2020-05-09,0
United Kingdom,2020-05-09,1001
Australia,2020-05-10,6167
China,2020-05-10,79167
Denmark,2020-05-10,198
France,2020-05-10,1265
Netherlands,2020-05-10,149
New Zealand,2020-05-10,0
United Kingdom,2020-05-10,1002
Australia,2020-05-11,6213
China,2020-05-11,79198
Denmark,2020-05-11,198
France,2020-05-11,1266
Netherlands,2020-05-11,149
New Zealand,2020-05-11,0
United Kingdom,2020-05-11,1015
Australia,2020-05-12,6270
China,2020-05-12,79222
Denmark,2020-05-12,198
France,2020-05-12,1281
Netherlands,2020-05-12,149
New Zealand,2020-05-12,0
United Kingdom,2020-05-12,1023
Australia,2020-05-13,6297
China,2020-05-13,79246
Denmark,2020-05-13,198
France,2020-05-13,1418
Netherlands,2020-05-13,157
New Zealand,2020-05-13,0
United Kingdom,2020-05-13,1032
Australia,2020-05-14,6334
China,2020-05-14,79261
Denmark,2020-05-14,198
France,2020-05-14,1419
Netherlands,2020-05-14,159
New Zealand,2020-05-14,0
United Kingdom,2020-05-14,1043
Australia,2020-05-15,6359
China,2020-05-15,79281
Denmark,2020-05-15,198
France,2020-05-15,1419
Netherlands,2020-05-15,159
New Zealand,2020-05-15,0
United Kingdom,2020-05-15,1047
Australia,2020-05-16,6364
China,2020-05-16,79293
Denmark,2020-05-16,198
France,2020-05-16,1420
Netherlands,2020-05-16,167
New Zealand,2020-05-16,0
United Kingdom,2020-05-16,1058
Australia,2020-05-17,6392
China,2020-05-17,79306
Denmark,2020-05-17,198
France,2020-05-17,1420
Netherlands,2020-05-17,167
New Zealand,2020-05-17,0
United Kingdom,2020-05-17,1058
Australia,2020-05-18,6413
China,2020-05-18,79310
Denmark,2020-05-18,198
France,2020-05-18,1427
Netherlands,2020-05-18,167
New Zealand,2020-05-18,0
United Kingdom,2020-05-18,1090
Australia,2020-05-19,6431
China,2020-05-19,79310
Denmark,2020-05-19,198
France,2020-05-19,1432
Netherlands,2020-05-19,167
New Zealand,2020-05-19,0
United Kingdom,2020-05-19,1099
Australia,2020-05-20,6470
China,2020-05-20,79310
Denmark,2020-05-20,198
France,2020-05-20,1759
Netherlands,2020-05-20,169
New Zealand,2020-05-20,0
United Kingdom,2020-05-20,1116
Australia,2020-05-21,6478
China,2020-05-21,79310
Denmark,2020-05-21,198
France,2020-05-21,1760
Netherlands,2020-05-21,169
New Zealand,2020-05-21,0
United Kingdom,2020-05-21,1134
Australia,2020-05-22,6485
China,2020-05-22,79332
Denmark,2020-05-22,198
France,2020-05-22,1770
Netherlands,2020-05-22,174
New Zealand,2020-05-22,0
United Kingdom,2020-05-22,1142
Australia,2020-05-23,6508
China,2020-05-23,79335
Denmark,2020-05-23,198
France,2020-05-23,1772
Netherlands,2020-05-23,174
New Zealand,2020-05-23,0
United Kingdom,2020-05-23,1149
Australia,2020-05-24,6531
China,2020-05-24,79343
Denmark,2020-05-24,198
France,2020-05-24,1774
Netherlands,2020-05-24,174
New Zealand,2020-05-24,0
United Kingdom,2020-05-24,1151
Australia,2020-05-25,6552
China,2020-05-25,79352
Denmark,2020-05-25,198
France,2020-05-25,1775
Netherlands,2020-05-25,174
New Zealand,2020-05-25,0
United Kingdom,2020-05-25,1161
Australia,2020-05-26,6560
China,2020-05-26,79358
Denmark,2020-05-26,198
France,2020-05-26,1775
Netherlands,2020-05-26,174
New Zealand,2020-05-26,0
United Kingdom,2020-05-26,1161
Australia,2020-05-27,6579
China,2020-05-27,79367
Denmark,2020-05-27,198
France,2020-05-27,2199
Netherlands,2020-05-27,177
New Zealand,2020-05-27,0
United Kingdom,2020-05-27,1166
Australia,2020-05-28,6576
China,2020-05-28,79371
Denmark,2020-05-28,198
France,2020-05-28,2211
Netherlands,2020-05-28,178
New Zealand,2020-05-28,0
United Kingdom,2020-05-28,1167
Australia,2020-05-29,6605
China,2020-05-29,79382
Denmark,2020-05-29,198
France,2020-05-29,2322
Netherlands,2020-05-29,178
New Zealand,2020-05-29,0
United Kingdom,2020-05-29,1172
Australia,2020-05-30,6614
China,2020-05-30,79386
Denmark,2020-05-30,198
France,2020-05-30,2335
Netherlands,2020-05-30,178
New Zealand,2020-05-30,0
United Kingdom,2020-05-30,1187
Australia,2020-05-31,6618
China,2020-05-31,79389
Denmark,2020-05-31,198
France,2020-05-31,2350
Netherlands,2020-05-31,178
New Zealand,2020-05-31,0
United Kingdom,2020-05-31,1190
Australia,2020-06-01,6626
China,2020-06-01,79398
Denmark,2020-06-01,198
France,2020-06-01,2438
Netherlands,2020-06-01,179
New Zealand,2020-06-01,0
United Kingdom,2020-06-01,1221
Australia,2020-06-02,6636
China,2020-06-02,79400
Denmark,2020-06-02,198
France,2020-06-02,2445
Netherlands,2020-06-02,180
New Zealand,2020-06-02,0
United Kingdom,2020-06-02,1224
Australia,2020-06-03,6648
China,2020-06-03,79404
Denmark,2020-06-03,198
France,2020-06-03,2542
Netherlands,2020-06-03,180
New Zealand,2020-06-03,0
United Kingdom,2020-06-03,1212
Australia,2020-06-04,6683
China,2020-06-04,79415
Denmark,2020-06-04,200
France,2020-06-04,2584
Netherlands,2020-06-04,180
New Zealand,2020-06-04,0
United Kingdom,2020-06-04,1219
Australia,2020-06-05,6688
China,2020-06-05,79420
Denmark,2020-06-05,200
France,2020-06-05,2615
Netherlands,2020-06-05,181
New Zealand,2020-06-05,0
United Kingdom,2020-06-05,1228
Australia,2020-06-06,6703
China,2020-06-06,79424
Denmark,2020-06-06,200
France,2020-06-06,2642
Netherlands,2020-06-06,181
New Zealand,2020-06-06,0
United Kingdom,2020-06-06,1230
Australia,2020-06-07,6706
China,2020-06-07,79434
Denmark,2020-06-07,200
France,2020-06-07,2678
Netherlands,2020-06-07,181
New Zealand,2020-06-07,0
United Kingdom,2020-06-07,1239
Australia,2020-06-08,6720
China,2020-06-08,79444
Denmark,2020-06-08,200
France,2020-06-08,2863
Netherlands,2020-06-08,181
New Zealand,2020-06-08,0
United Kingdom,2020-06-08,1255
Australia,2020-06-09,6740
China,2020-06-09,79451
Denmark,2020-06-09,200
France,2020-06-09,2890
Netherlands,2020-06-09,181
New Zealand,2020-06-09,0
United Kingdom,2020-06-09,1257
Australia,2020-06-10,6759
China,2020-06-10,79456
Denmark,2020-06-10,200
France,2020-06-10,2920
Netherlands,2020-06-10,181
New Zealand,2020-06-10,0
United Kingdom,2020-06-10,1269
Australia,2020-06-11,6782
China,2020-06-11,79464
Denmark,2020-06-11,200
France,2020-06-11,2925
Netherlands,2020-06-11,181
New Zealand,2020-06-11,0
United Kingdom,2020-06-11,1278
Australia,2020-06-12,6803
China,2020-06-12,79472
Denmark,2020-06-12,200
France,2020-06-12,3117
Netherlands,2020-06-12,181
New Zealand,2020-06-12,0
United Kingdom,2020-06-12,1282
Australia,2020-06-13,6838
China,2020-06-13,79475
Denmark,2020-06-13,200
France,2020-06-13,3148
Netherlands,2020-06-13,181
New Zealand,2020-06-13,0
United Kingdom,2020-06-13,1283
Australia,2020-06-14,6851
