Country/Region,Date,Confirmed
Netherlands,2020-04-21,183
New Zealand,2020-04-21,0
United Kingdom,2020-04-21,1116
Australia,2020-04-22,6652
Canada,2020-04-22,44465
China,2020-04-22,83868
Denmark,2020-04-22,196
France,2020-04-22,1264
Netherlands,2020-04-22,190
New Zealand,2020-04-22,0
United Kingdom,2020-04-22,1132
Australia,2020-04-23,6662
Canada,2020-04-23,46274
China,2020-04-23,83884
Denmark,2020-04-23,198
France,2020-04-23,1277
Netherlands,2020-04-23,192
New Zealand,2020-04-23,0
United Kingdom,2020-04-23,1142
Australia,2020-04-24,6677
Canada,2020-04-24,47914
China,2020-04-24,83899
Denmark,2020-04-24,198
France,2020-04-24,1316
Netherlands,2020-04-24,194
New Zealand,2020-04-24,0
United Kingdom,2020-04-24,1149
Australia,2020-04-25,6694
Canada,2020-04-25,49496
China,2020-04-25,83909
Denmark,2020-04-25,198
France,2020-04-25,1352
Netherlands,2020-04-25,194
New Zealand,2020-04-25,0
United Kingdom,2020-04-25,1184
Australia,2020-04-26,6714
Canada,2020-04-26,50707
China,2020-04-26,83912
Denmark,2020-04-26,198
France,2020-04-26,1373
Netherlands,2020-04-26,195
New Zealand,2020-04-26,0
United Kingdom,2020-04-26,1191
Australia,2020-04-27,6721
Canada,2020-04-27,52363
China,2020-04-27,83918
Denmark,2020-04-27,198
France,2020-04-27,1374
Netherlands,2020-04-27,195
New Zealand,2020-04-27,0
United Kingdom,2020-04-27,1196
Australia,2020-04-28,6744
Canada,2020-04-28,53886
China,2020-04-28,83940
Denmark,2020-04-28,198
France,2020-04-28,1448
Netherlands,2020-04-28,196
New Zealand,2020-04-28,0
United Kingdom,2020-04-28,1199
Australia,2020-04-29,6752
Canada,2020-04-29,55575
China,2020-04-29,83944
Denmark,2020-04-29,198
France,2020-04-29,1450
Netherlands,2020-04-29,196
New Zealand,2020-04-29,0
United Kingdom,2020-04-29,1209
Australia,2020-04-30,6766
Canada,2020-04-30,57214
China,2020-04-30,83956
Denmark,2020-04-30,198
France,2020-04-30,1535
Netherlands,2020-04-30,196
New Zealand,2020-04-30,0
United Kingdom,2020-04-30,1222
Australia,2020-05-01,6778
Canada,2020-05-01,59025
China,2020-05-01,83959
Denmark,2020-05-01,198
France,2020-05-01,1541
Netherlands,2020-05-01,198
New Zealand,2020-05-01,0
United Kingdom,2020-05-01,1230
Australia,2020-05-02,6799
Canada,2020-05-02,60381
China,2020-05-02,83959
Denmark,2020-05-02,198
France,2020-05-02,1542
Netherlands,2020-05-02,198
New Zealand,2020-05-02,0
United Kingdom,2020-05-02,1235
Australia,2020-05-03,6822
Canada,2020-05-03,61640
China,2020-05-03,83964
Denmark,2020-05-03,198
France,2020-05-03,1653
Netherlands,2020-05-03,198
New Zealand,2020-05-03,0
United Kingdom,2020-05-03,1237
Australia,2020-05-04,6847
Canada,2020-05-04,63016
China,2020-05-04,83966
Denmark,2020-05-04,198
France,2020-05-04,1697
Netherlands,2020-05-04,198
New Zealand,2020-05-04,0
United Kingdom,2020-05-04,1243
Australia,2020-05-05,6875
Canada,2020-05-05,64411
China,2020-05-05,83968
Denmark,2020-05-05,198
France,2020-05-05,1752
Netherlands,2020-05-05,199
New Zealand,2020-05-05,0
United Kingdom,2020-05-05,1248
Australia,2020-05-06,6894
Canada,2020-05-06,65927
China,2020-05-06,83970
Denmark,2020-05-06,198
France,2020-05-06,1759
Netherlands,2020-05-06,199
New Zealand,2020-05-06,0
United Kingdom,2020-05-06,1254
Australia,2020-05-07,6913
Canada,2020-05-07,67198
China,2020-05-07,83975
Denmark,2020-05-07,198
France,2020-05-07,1878
Netherlands,2020-05-07,199
New Zealand,2020-05-07,0
United Kingdom,2020-05-07,1258
Australia,2020-05-08,6918
Canada,2020-05-08,68398
China,2020-05-08,83976
Denmark,2020-05-08,198
France,2020-05-08,1884
Netherlands,2020-05-08,199
New Zealand,2020-05-08,0
United Kingdom,2020-05-08,1261
Australia,2020-05-09,6939
Canada,2020-05-09,69544
China,2020-05-09,83990
Denmark,2020-05-09,198
France,2020-05-09,2023
Netherlands,2020-05-09,199
New Zealand,2020-05-09,0
United Kingdom,2020-05-09,1261
Australia,2020-05-10,6948
Canada,2020-05-10,70582
China,2020-05-10,84010
Denmark,2020-05-10,198
France,2020-05-10,2066
Netherlands,2020-05-10,199
New Zealand,2020-05-10,0
United Kingdom,2020-05-10,1262
Australia,2020-05-11,6970
Canada,2020-05-11,71606
China,2020-05-11,84011
Denmark,2020-05-11,198
France,2020-05-11,2068
Netherlands,2020-05-11,199
New Zealand,2020-05-11,0
United Kingdom,2020-05-11,1267
Australia,2020-05-12,6980
Canada,2020-05-12,72723
China,2020-05-12,84018
Denmark,2020-05-12,198
France,2020-05-12,2142
Netherlands,2020-05-12,199
New Zealand,2020-05-12,0
United Kingdom,2020-05-12,1275
Australia,2020-05-13,6989
Canada,2020-05-13,73950
China,2020-05-13,84024
Denmark,2020-05-13,198
France,2020-05-13,2203
Netherlands,2020-05-13,199
New Zealand,2020-05-13,0
United Kingdom,2020-05-13,1276
Australia,2020-05-14,7019
Canada,2020-05-14,75060
China,2020-05-14,84029
Denmark,2020-05-14,198
France,2020-05-14,2282
Netherlands,2020-05-14,199
New Zealand,2020-05-14,0
United Kingdom,2020-05-14,1285
Australia,2020-05-15,7035
Canada,2020-05-15,76331
China,2020-05-15,84038
Denmark,2020-05-15,198
France,2020-05-15,2311
Netherlands,2020-05-15,199
New Zealand,2020-05-15,0
United Kingdom,2020-05-15,1289
Australia,2020-05-16,7044
Canada,2020-05-16,77486
China,2020-05-16,84044
Denmark,2020-05-16,198
France,2020-05-16,2423
Netherlands,2020-05-16,200
New Zealand,2020-05-16,0
United Kingdom,2020-05-16,1291
Australia,2020-05-17,7054
Canada,2020-05-17,78694
China,2020-05-17,84054
Denmark,2020-05-17,198
France,2020-05-17,2453
Netherlands,2020-05-17,200
New Zealand,2020-05-17,0
United Kingdom,2020-05-17,1291
Australia,2020-05-18,7068
Canada,2020-05-18,79780
China,2020-05-18,84063
Denmark,2020-05-18,198
France,2020-05-18,2497
Netherlands,2020-05-18,200
New Zealand,2020-05-18,0
United Kingdom,2020-05-18,1293
Australia,2020-05-19,7072
Canada,2020-05-19,80782
China,2020-05-19,84063
Denmark,2020-05-19,198
France,2020-05-19,2505
Netherlands,2020-05-19,200
New Zealand,2020-05-19,0
United Kingdom,2020-05-19,1315
Australia,2020-05-20,7081
Canada,2020-05-20,82038
China,2020-05-20,84063
Denmark,2020-05-20,198
France,2020-05-20,2630
Netherlands,2020-05-20,200
New Zealand,2020-05-20,0
United Kingdom,2020-05-20,1319
Australia,2020-05-21,7095
Canada,2020-05-21,83153
China,2020-05-21,84071
Denmark,2020-05-21,198
France,2020-05-21,2644
Netherlands,2020-05-21,200
New Zealand,2020-05-21,0
United Kingdom,2020-05-21,1331
Australia,2020-05-22,7099
Canada,2020-05-22,84243
China,2020-05-22,84081
Denmark,2020-05-22,198
France,2020-05-22,2708
Netherlands,2020-05-22,200
New Zealand,2020-05-22,0
United Kingdom,2020-05-22,1345
Australia,2020-05-23,7114
Canada,2020-05-23,85150
China,2020-05-23,84084
Denmark,2020-05-23,198
France,2020-05-23,2729
Netherlands,2020-05-23,201
New Zealand,2020-05-23,0
United Kingdom,2020-05-23,1346
Australia,2020-05-24,7114
Canada,2020-05-24,86103
China,2020-05-24,84095
Denmark,2020-05-24,199
France,2020-05-24,2849
Netherlands,2020-05-24,201
New Zealand,2020-05-24,0
United Kingdom,2020-05-24,1353
Australia,2020-05-25,7126
Canada,2020-05-25,87067
China,2020-05-25,84102
Denmark,2020-05-25,199
France,2020-05-25,2900
Netherlands,2020-05-25,202
New Zealand,2020-05-25,0
United Kingdom,2020-05-25,1358
Australia,2020-05-26,7139
Canada,2020-05-26,87834
China,2020-05-26,84103
Denmark,2020-05-26,199
France,2020-05-26,2959
Netherlands,2020-05-26,202
New Zealand,2020-05-26,0
United Kingdom,2020-05-26,1367
