Country/Region,Date,Deaths
Denmark,2020-04-22,0
France,2020-04-22,33
Netherlands,2020-04-22,14
New Zealand,2020-04-22,0
United Kingdom,2020-04-22,51
Australia,2020-04-23,75
Canada,2020-04-23,2757
China,2020-04-23,4636
Denmark,2020-04-23,0
France,2020-04-23,33
Netherlands,2020-04-23,15
New Zealand,2020-04-23,0
United Kingdom,2020-04-23,52
Australia,2020-04-24,79
Canada,2020-04-24,2931
China,2020-04-24,4636
Denmark,2020-04-24,0
France,2020-04-24,33
Netherlands,2020-04-24,15
New Zealand,2020-04-24,0
United Kingdom,2020-04-24,60
Australia,2020-04-25,80
Canada,2020-04-25,3112
China,2020-04-25,4636
Denmark,2020-04-25,0
France,2020-04-25,33
Netherlands,2020-04-25,15
New Zealand,2020-04-25,0
United Kingdom,2020-04-25,62
Australia,2020-04-26,83
Canada,2020-04-26,3249
China,2020-04-26,4637
Denmark,2020-04-26,0
France,2020-04-26,34
Netherlands,2020-04-26,16
New Zealand,2020-04-26,0
United Kingdom,2020-04-26,62
Australia,2020-04-27,83
Canada,2020-04-27,3428
China,2020-04-27,4637
Denmark,2020-04-27,0
France,2020-04-27,34
Netherlands,2020-04-27,16
New Zealand,2020-04-27,0
United Kingdom,2020-04-27,65
Australia,2020-04-28,89
Canada,2020-04-28,3635
China,2020-04-28,4637
Denmark,2020-04-28,0
France,2020-04-28,34
Netherlands,2020-04-28,16
New Zealand,2020-04-28,0
United Kingdom,2020-04-28,66
Australia,2020-04-29,91
Canada,2020-04-29,3843
China,2020-04-29,4637
Denmark,2020-04-29,0
France,2020-04-29,34
Netherlands,2020-04-29,16
New Zealand,2020-04-29,0
United Kingdom,2020-04-29,66
Australia,2020-04-30,93
Canada,2020-04-30,4055
China,2020-04-30,4637
Denmark,2020-04-30,0
France,2020-04-30,34
Netherlands,2020-04-30,16
New Zealand,2020-04-30,0
United Kingdom,2020-04-30,67
Australia,2020-05-01,93
Canada,2020-05-01,4236
China,2020-05-01,4637
Denmark,2020-05-01,0
France,2020-05-01,34
Netherlands,2020-05-01,16
New Zealand,2020-05-01,0
United Kingdom,2020-05-01,68
Australia,2020-05-02,94
Canada,2020-05-02,4412
China,2020-05-02,4637
Denmark,2020-05-02,0
France,2020-05-02,34
Netherlands,2020-05-02,16
New Zealand,2020-05-02,0
United Kingdom,2020-05-02,71
Australia,2020-05-03,95
Canada,2020-05-03,4558
China,2020-05-03,4637
Denmark,2020-05-03,0
France,2020-05-03,36
Netherlands,2020-05-03,16
New Zealand,2020-05-03,0
United Kingdom,2020-05-03,72
Australia,2020-05-04,96
Canada,2020-05-04,4764
China,2020-05-04,4637
Denmark,2020-05-04,0
France,2020-05-04,36
Netherlands,2020-05-04,16
New Zealand,2020-05-04,0
United Kingdom,2020-05-04,74
Australia,2020-05-05,97
Canada,2020-05-05,4936
China,2020-05-05,4637
Denmark,2020-05-05,0
France,2020-05-05,39
Netherlands,2020-05-05,17
New Zealand,2020-05-05,0
United Kingdom,2020-05-05,74
Australia,2020-05-06,97
Canada,2020-05-06,5108
China,2020-05-06,4637
Denmark,2020-05-06,0
France,2020-05-06,40
Netherlands,2020-05-06,17
New Zealand,2020-05-06,0
United Kingdom,2020-05-06,74
Australia,2020-05-07,97
Canada,2020-05-07,5256
China,2020-05-07,4637
Denmark,2020-05-07,0
France,2020-05-07,41
Netherlands,2020-05-07,18
New Zealand,2020-05-07,0
United Kingdom,2020-05-07,74
Australia,2020-05-08,97
Canada,2020-05-08,5414
China,2020-05-08,4637
Denmark,2020-05-08,0
France,2020-05-08,41
Netherlands,2020-05-08,18
New Zealand,2020-05-08,0
United Kingdom,2020-05-08,75
Australia,2020-05-09,97
Canada,2020-05-09,5576
China,2020-05-09,4637
Denmark,2020-05-09,0
France,2020-05-09,42
Netherlands,2020-05-09,19
New Zealand,2020-05-09,0
United Kingdom,2020-05-09,75
Australia,2020-05-10,97
Canada,2020-05-10,5704
China,2020-05-10,4637
Denmark,2020-05-10,0
France,2020-05-10,42
Netherlands,2020-05-10,19
New Zealand,2020-05-10,0
United Kingdom,2020-05-10,75
Australia,2020-05-11,97
Canada,2020-05-11,5836
China,2020-05-11,4637
Denmark,2020-05-11,0
France,2020-05-11,42
Netherlands,2020-05-11,19
New Zealand,2020-05-11,0
United Kingdom,2020-05-11,76
Australia,2020-05-12,98
Canada,2020-05-12,5979
China,2020-05-12,4637
Denmark,2020-05-12,0
France,2020-05-12,43
Netherlands,2020-05-12,19
New Zealand,2020-05-12,0
United Kingdom,2020-05-12,77
Australia,2020-05-13,98
Canada,2020-05-13,6091
China,2020-05-13,4637
Denmark,2020-05-13,0
France,2020-05-13,45
Netherlands,2020-05-13,19
New Zealand,2020-05-13,0
United Kingdom,2020-05-13,77
Australia,2020-05-14,98
Canada,2020-05-14,6213
China,2020-05-14,4637
Denmark,2020-05-14,0
France,2020-05-14,47
Netherlands,2020-05-14,19
New Zealand,2020-05-14,0
United Kingdom,2020-05-14,79
Australia,2020-05-15,98
Canada,2020-05-15,6337
China,2020-05-15,4637
Denmark,2020-05-15,0
France,2020-05-15,47
Netherlands,2020-05-15,19
New Zealand,2020-05-15,0
United Kingdom,2020-05-15,80
Australia,2020-05-16,98
Canada,2020-05-16,6452
China,2020-05-16,4638
Denmark,2020-05-16,0
France,2020-05-16,49
Netherlands,2020-05-16,19
New Zealand,2020-05-16,0
United Kingdom,2020-05-16,80
Australia,2020-05-17,99
Canada,2020-05-17,6542
China,2020-05-17,4638
Denmark,2020-05-17,0
France,2020-05-17,49
Netherlands,2020-05-17,19
New Zealand,2020-05-17,0
United Kingdom,2020-05-17,80
Australia,2020-05-18,99
Canada,2020-05-18,6637
China,2020-05-18,4638
Denmark,2020-05-18,0
France,2020-05-18,49
Netherlands,2020-05-18,19
New Zealand,2020-05-18,0
United Kingdom,2020-05-18,80
Australia,2020-05-19,100
Canada,2020-05-19,6714
China,2020-05-19,4638
Denmark,2020-05-19,0
France,2020-05-19,49
Netherlands,2020-05-19,19
New Zealand,2020-05-19,0
United Kingdom,2020-05-19,80
Australia,2020-05-20,100
Canada,2020-05-20,6832
China,2020-05-20,4638
Denmark,2020-05-20,0
France,2020-05-20,51
Netherlands,2020-05-20,19
New Zealand,2020-05-20,0
United Kingdom,2020-05-20,80
Australia,2020-05-21,101
Canada,2020-05-21,6933
China,2020-05-21,4638
Denmark,2020-05-21,0
France,2020-05-21,51
Netherlands,2020-05-21,19
New Zealand,2020-05-21,0
United Kingdom,2020-05-21,81
Australia,2020-05-22,101
Canada,2020-05-22,7036
China,2020-05-22,4638
Denmark,2020-05-22,0
France,2020-05-22,51
Netherlands,2020-05-22,19
New Zealand,2020-05-22,0
United Kingdom,2020-05-22,82
Australia,2020-05-23,102
Canada,2020-05-23,7129
China,2020-05-23,4638
Denmark,2020-05-23,0
France,2020-05-23,51
Netherlands,2020-05-23,19
New Zealand,2020-05-23,0
United Kingdom,2020-05-23,82
Australia,2020-05-24,102
Canada,2020-05-24,7218
China,2020-05-24,4638
Denmark,2020-05-24,0
France,2020-05-24,53
Netherlands,2020-05-24,19
New Zealand,2020-05-24,0
United Kingdom,2020-05-24,82
Australia,2020-05-25,102
Canada,2020-05-25,7312
China,2020-05-25,4638
Denmark,2020-05-25,0
France,2020-05-25,53
Netherlands,2020-05-25,19
New Zealand,2020-05-25,0
United Kingdom,2020-05-25,82
Australia,2020-05-26,103
Canada,2020-05-26,7400
China,2020-05-26,4638
Denmark,2020-05-26,0
France,2020-05-26,53
Netherlands,2020-05-26,19
New Zealand,2020-05-26,0
United Kingdom,2020-05-26,82
Australia,2020-05-27,103
Canada,2020-05-27,7497
China,2020-05-27,4638
Denmark,2020-05-27,0
France,2020-05-27,53
Netherlands,2020-05-27,19
New Zealand,2020-05-27,0
United Kingdom,2020-05-27,82
Australia,2020-05-28,103
Canada,2020-05-28,7614
China,2020-05-28,4638
Denmark,2020-05-28,0
France,2020-05-28,54
Netherlands,2020-05-28,19
New Zealand,2020-05-28,0
